stra,perc,circ,samp,stra2,perc2,circ2,samp2,cros1,cros2
Annealing,0.950,0.400,20,Mirroring,0.000,0.400,20,2403,2144
Annealing,0.950,0.400,20,Mirroring,0.000,0.400,40,37,29
Annealing,0.950,0.400,20,Mirroring,0.000,0.425,25,973,1064
Annealing,0.950,0.400,20,Mirroring,0.000,0.425,30,24450,23043
Annealing,0.950,0.400,20,Mirroring,0.000,0.425,35,64592,64138
Annealing,0.950,0.400,25,Annealing,0.900,0.400,20,77211,75255
Annealing,0.950,0.400,25,Annealing,0.900,0.400,35,139482,131668
Annealing,0.950,0.400,25,Annealing,0.900,0.425,20,1383,1197
Annealing,0.950,0.400,25,Annealing,0.900,0.425,30,165756,158773
Annealing,0.950,0.400,25,Annealing,0.900,0.425,35,99850,95083
Annealing,0.950,0.400,25,Annealing,0.950,0.400,20,64696,63958
Annealing,0.950,0.400,25,Annealing,0.950,0.400,30,68813,66500
Annealing,0.950,0.400,25,Annealing,0.950,0.400,35,190,141
Annealing,0.950,0.400,25,Annealing,0.950,0.425,20,7172,6741
Annealing,0.950,0.400,25,Annealing,0.950,0.425,25,9199,9162
Annealing,0.950,0.400,25,Mirroring,0.000,0.425,25,79,71
Annealing,0.950,0.400,25,Mirroring,0.000,0.425,35,618,525
Annealing,0.950,0.400,30,Annealing,0.900,0.400,20,568,538
Annealing,0.950,0.400,30,Annealing,0.900,0.400,25,241,238
Annealing,0.950,0.400,30,Annealing,0.900,0.400,30,579,571
Annealing,0.950,0.400,30,Annealing,0.950,0.400,20,66665,63226
Annealing,0.950,0.400,30,Annealing,0.950,0.400,35,81398,79488
Annealing,0.950,0.400,30,Annealing,0.950,0.425,25,608,517
Annealing,0.950,0.400,30,Annealing,0.950,0.425,35,25527,25118
Annealing,0.950,0.400,30,Mirroring,0.000,0.400,25,20445,19542
Annealing,0.950,0.400,30,Mirroring,0.000,0.400,30,205536,200151
Annealing,0.950,0.400,30,Mirroring,0.000,0.400,35,87050,82347
